id,word,definition,tags
62,jevnspelt,"Om deltagere i konkurranse, kamp eller lignende: som står likt eller er like gode",obskur;bm;adj
63,angakok,Inuittisk medisinmann,obskur;bm;subst
64,bramsegl,Råseil som heises over mersseil,obskur;bm;subst
65,oransjeri,"Veksthus for trær og busker, særlig av slekta Citrus, som ikke tåler overvintring på friland",obskur;bm;subst
66,spatium,"Mellomrom, særlig mellom typer, ord eller linjer i en trykksats",obskur;bm;subst
67,slingrebrett,Kant rundt spisebord om bord i fartøy for å hindre at ting faller ned under sjøgang,obskur;bm;subst
68,aksgras,Gress med småaks samlet i et sammensatt aks,obskur;bm;subst
69,trikin,Rundorm i tarm og kjøtt hos mange pattedyr,obskur;bm;subst
70,hereditet,Det at (biologiske) egenskaper er arvelig,obskur;bm;subst
71,ordhitten,Flink til å finne de rette ordene,obskur;bm;adj
73,panegyriker,Person som forfatter eller framfører lovtaler,obskur;bm;subst
74,baluster,Vertikal stolpe i rekkverk med utbuet form,obskur;bm;subst
75,uniformisme,Det å prøve å ensrette,obskur;bm;subst
76,galfrans,"Lystig person, galning",obskur;bm;subst
77,edelkastanje,Stort tre med spiselige nøtter,obskur;bm;subst
78,skjerding,Lang jernkrok med skar i til å henge kjeler og gryter på over ildsted,obskur;bm;subst
79,kabylsk,Språk hovedsakelig brukt i Algerie,obskur;bm;subst
80,sjogse,"Om orrhane: lage en susende, hvesende lyd under spillet i paringstida",obskur;bm;verb
81,kleime,"Klister, plantelim, gluten",obskur;bm;subst
82,annal,Skrift fra eldre tider med opptegnelser av samtidige hendinger fra år til år,obskur;bm;subst
83,mandant,Person som en annen handler på vegne av,obskur;bm;subst
84,iterativ,Om verbalform (særlig i slaviske språk): som uttrykker at en handling stadig blir gjentatt,obskur;bm;adj
85,aspiratorisk,I språkvitenskap: uttalt med pustelyd,obskur;bm;adj
86,edafisk,"Som gjelder fysiske, kjemiske eller biologiske forhold i jordbunnen",obskur;bm;adj
87,handgi,Gi forrett til kjøp i et visst tidsrom,obskur;bm;verb
88,nitte,"Gjøre butt, runde av",obskur;bm;verb
89,mnemoteknikk,Metode til å styrke hukommelsen,obskur;bm;subst
90,pandsjabi,Indoarisk språk hovedsakelig brukt i India og Pakistan,obskur;bm;subst
91,lusegress,"Grov, gaffelgrenet plante i kråkefotfamilie",obskur;bm;subst
92,inflammere,I medisin: gjøre betent,obskur;bm;verb
93,vadre,Drive planløst omkring,obskur;bm;verb
95,havengel,Hai som ligner skate og som kan bli opptil 2 meter lang,obskur;bm;subst
96,maveport,Overgang mellom magesekken og tolvfingertarm,obskur;bm;subst
97,joruba,"Vestafrikansk språk hovedsakelig brukt i Nigeria, Benin og Togo",obskur;bm;subst
98,panhellenisme,Politisk bevegelse på begynnelsen av 1900-tallet som prøvde å samle alle grekere i én nasjon,obskur;bm;subst
99,kredittkasse,Eldre betegnelse for forretningsbank,obskur;bm;subst
100,synergisme,I teologi: lære om at frelsen er et resultat av samvirke mellom Gud og mennesket,obskur;bm;subst
101,inaugurasjon,Høytidelig innvielse eller innsetting,obskur;bm;subst
102,reorganisasjon,"Omordning, gjenoppretting",obskur;bm;subst
103,kortblanding,Det å ikke (greie å) skille mellom ulike saker og interesser,obskur;bm;subst
104,hovmesterere,Opptre overlegent belærende overfor noen,obskur;bm;verb
105,mollusk,"I medisin, i flertall: små knuter i huden på grunn av virussmitte",obskur;bm;subst
106,bikte,Bekjenne sine synder,obskur;bm;verb
107,klyset,"Om person: ekkel, hoven",obskur;bm;adj
108,femtidel,Hver av 50 like deler,obskur;bm;subst
109,kikne,"Miste pusten under latter, gråt eller hoste",obskur;bm;verb
110,butare,"Brunalge som tidligere var vanlig som husdyrfor, og som også kan brukes som menneskeføde",obskur;bm;subst
111,typologisere,Foreta en vitenskapelig inndeling i typer,obskur;bm;verb
112,sjartre,"Leie (skip, fly, buss eller lignende) til frakt eller reise",obskur;bm;verb
113,usurpere,Rane til seg makt eller rettigheter,obskur;bm;verb
114,urete,Om terreng: med ur eller mye stein,obskur;bm;adj
115,hamse,Skille frø fra skolm og blomsterdeler hos kløverplante,obskur;bm;verb
116,bombasin,Glatt vevd stoff av ull eller silke,obskur;bm;subst
117,labial,Om språklyd: som blir uttalt med leppene,obskur;bm;adj
118,polygyni,Ekteskap mellom én mann og flere kvinner,obskur;bm;subst
119,konduktivitet,Ledningsevne per flate- og lengdeenhet,obskur;bm;subst
120,kegel,"I typografi: betegnelse på høyden av bokstavtyper, målt i punkt",obskur;bm;subst
121,vigil,"Våken, årvåken, vaktsom",obskur;bm;adj
122,galon,"Pyntesnor, for eksempel på uniform for å angi graden",obskur;bm;subst
123,krase,Slå eller klemme noe i stykker,obskur;bm;verb
124,turkotatarisk,"Tyrkisk, særlig i sørlige deler av det tidligere Sovjetunionen",obskur;bm;subst
125,karimesse,"Minnedag for den hellige Katarina av Alexandria, 25. november",obskur;bm;subst
126,bramstang,Øverste del av en fullrigget mast,obskur;bm;subst
127,kuband,Bånd til å binde ku med,obskur;bm;subst
128,turve,"Behøve, trenge, være nødt til",obskur;bm;verb
129,protolytt,I kjemi: fellesbetegnelse på syrer og baser,obskur;bm;subst
130,vivipar,I zoologi: som føder levende unger,obskur;bm;adj
131,yttrium,"Sølvhvitt, metallisk grunnstoff med atomnummer 39",obskur;bm;subst
132,slisk,Hengende hylle på skipsside til å kaste fisk på,obskur;bm;subst
133,teleologi,"Lære som går ut på at alt som er og skjer, er bestemt på forhånd og har en bestemt hensikt",obskur;bm;subst
134,evaporator,Apparat brukt til å framstille ferskvann ved å fordampe sjøvann,obskur;bm;subst
135,kjoks,Del av en boremaskin eller dreiebenk der en spenner fast boret eller arbeidsstykket,obskur;bm;subst
136,allemannsvenn,"Populær, omgjengelig person",obskur;bm;subst
137,assembler,I IT: program som oversetter programmeringsspråk til maskinkode,obskur;bm;subst
138,panase,Medisin mot alle sykdommer,obskur;bm;subst
139,panasjert,Forsynt med fjærbusk,obskur;bm;adj
140,tettegras,"Klebrig, insektetende plante med fiolettblå blomst",obskur;bm;subst
141,karbontid,I bestemt form entall: geologisk periode mellom devon og perm,obskur;bm;subst
142,sifong,Flaske for musserende drikker med tappekran der væsken drives ut av trykket fra karbondioksidet,obskur;bm;subst
143,nektarium,Honningkjertel hos blomster,obskur;bm;subst
144,deviere,Vike av fra kursen eller retningen,obskur;bm;verb
145,missale,Romersk-katolsk liturgisk håndbok,obskur;bm;subst
146,svineblom,Plante i slekta Senecio med gule kurv,obskur;bm;subst
147,sveisejern,Svært bløtt stål framstilt i deigaktig tilstand,obskur;bm;subst
148,elementanalyse,Spalting av organiske stoffer for å bestemme mengden av de grunnstoffene som inngår i dem,obskur;bm;subst
149,slengeskott,Tilfeldig skudd avfyrt på måfå,obskur;bm;subst
150,kation,Positivt ladet ion som under elektrolyse går til katode,obskur;bm;subst
151,skeilag,"Sterk, bevegelig ramme i vevstol som brukes til å slå veften fast i renningen",obskur;bm;subst
152,vindebru,"Bru som kan heises opp og ned, særlig over vollgrav",obskur;bm;subst
153,volumetri,Det å måle rominnhold,obskur;bm;subst
154,bommesi,Bomullsstoff som er loddent på den ene siden,obskur;bm;subst
155,stimann,Om eldre forhold: landeveisrøver,obskur;bm;subst
156,halofytt,Plante som lever i saltvann eller på saltholdig mark,obskur;bm;subst
157,berrsynt,"Lett å se, tydelig, klar",obskur;bm;adj
158,bentfram,Om person: som går rett på sak,obskur;bm;adj
159,tvare,Kjøkkenredskap til å røre og stampe med,obskur;bm;subst
160,einstape,"Bregne med krypende rotstokk og langstilkete, finnete blad",obskur;bm;subst
161,anebilde,Portrett av formor eller forfar,obskur;bm;subst
162,determinant,Algebraisk uttrykk som kan løse et ligningssystem,obskur;bm;subst
163,biotype,Gruppe individer med like arveegenskap,obskur;bm;subst
164,glykosid,Kjemisk forbindelse av et karbohydrat og et annet stoff,obskur;bm;subst
165,fermentere,Gjære eller få til å gjære,obskur;bm;verb
166,krugg,Øverste del av ryggen,obskur;bm;subst
167,grautdag,Dag da en spiser grøt,obskur;bm;subst
168,handgangen,Som er en pålitelig og trofast tilhenger eller medarbeider,obskur;bm;adj
169,predisponere,På forhånd gjøre mottakelig eller anlagt for,obskur;bm;verb
170,papirkorg,I IT: digital mappe eller katalog hvor en legger filer som kan slettes,obskur;bm;subst
171,avlsproduktiv,Som får tallrikt avkom,obskur;bm;adj
172,transferere,"Frakte reisende fra ett sted til et annet, for eksempel fra flyplass til hotell",obskur;bm;verb
173,skamfiling,"Det å gnage eller gni i stykker, særlig seil eller rigg under seilas",obskur;bm;subst
174,fylogenese,Lære om en arts eller slekts utvikling gjennom tidene,obskur;bm;subst
175,semaforere,Signalisere ved hjelp av armer eller små flagg,obskur;bm;verb
176,movere,(få til å) bevege på seg,obskur;bm;verb
177,notabel,Som står høyt i rang,obskur;bm;adj
178,korion,Ytterste hinne av fosterhinnene,obskur;bm;subst
179,istervom,Nedsettende: svært tykk mann,obskur;bm;subst
180,kopperglans,Metallisk mineral som inneholder 80 prosent kobber,obskur;bm;subst
181,uinnvigd,Som er uvitende om (noe som er kjent bare i visse kretser),obskur;bm;adj
182,ohmmeter,Måleinstrument for elektrisk motstand,obskur;bm;subst
183,kolokvint,Urt i gresskarfamilien med bitter frukt på størrelse med appelsiner,obskur;bm;subst
184,krysolitt,"Gjennomsiktig, lys gulgrønn eller grønn varietet av olivin brukt som smykkestein",obskur;bm;subst
185,heitvin,Eldre betegnelse for sterkvin,obskur;bm;subst
186,klerus,"Prestestand, de geistlige",obskur;bm;subst
187,utkroting,Pryd av malte figurer,obskur;bm;subst
188,innstev,Omkved som står inne i en folkevisestrofe,obskur;bm;subst
189,jelke,Kastrere (særlig hest),obskur;bm;verb
190,vakuole,Hulrom i en celle fylt med cellesaft,obskur;bm;subst
191,regneverk,Samordnet serie av lærebøker i matematikk,obskur;bm;subst
192,glykolyse,"Prosess med nedbryting av glukose i cellene, der det samtidig frigjøres energi",obskur;bm;subst
193,tonika,Grunntone i en toneart,obskur;bm;subst
195,dialektisering,Det at skrifttradisjonen i et språk blir brutt slik at språket mister sin status som nasjonalspråk,obskur;bm;subst
196,unnsleppe,Slippe unna oppmerksomhet,obskur;bm;verb
197,bilingv,Som foregår på to språk,obskur;bm;adj
198,radikand,I matematikk: tall under et rottegn,obskur;bm;subst
199,halvsnylter,Ugress som tar næring dels fra jorda og lufta og dels fra den planten den lever på,obskur;bm;subst
200,eloge,Lovtale (især over en avdød),obskur;bm;subst
201,sefyr,"Mild, svalende vestavind",obskur;bm;subst
202,skurlag,Sammenslutning av skogeiere som tar seg av skjæring og foredling av tømmer,obskur;bm;subst
204,avherde,Bløtgjøre hardt vann ved å fjerne innholdet av kalsium- og magnesiumioner i det,obskur;bm;verb
205,markskriker,Person som driver overdrevet og smakløs reklame,obskur;bm;subst
206,boltit,Fjellfugl på størrelse med en trost,obskur;bm;subst
207,dvergmispel,Busk i rosefamilie med små lyserøde blomster,obskur;bm;subst
208,okarina,Eggformet blåseinstrument av leire eller porselen,obskur;bm;subst
209,aminogruppe,"Større organisk byggestein, for eksempel i protein",obskur;bm;subst
210,alemannisk,Fellesbetegnelse på visse sørtyske dialekter,obskur;bm;subst
211,skurdonn,Onn da kornet skjæres,obskur;bm;subst
212,dobbeltbotnet,Som kan tolkes på to måter,obskur;bm;adj
213,hovskjegg,Hårdusk ovenfor hov på hest,obskur;bm;subst
215,damejeanne,"Glassballong i kurv til vin, syrer og lignende",obskur;bm;subst
217,voltampere,Målenhet for tilsyneslatende effekt av strøm og spenning,obskur;bm;subst
218,fallesyk,Foreldet betegnelse for epileptisk,obskur;bm;adj
219,vringle,Være vrang og vrien i ord,obskur;bm;verb
220,bikonkav,Om linse: som er innhul på begge sider,obskur;bm;adj
221,innflying,Det å fly inn og ned mot en flyplass for å lande,obskur;bm;subst
222,sjaslik,Kjøtt- og grønnsakrett trædd på spidd og stekt over åpen varme,obskur;bm;subst
223,vevbom,Hver av bom i en vevstol,obskur;bm;subst
224,kupolovn,Ovn brukt til å smelte råmatriale om til støpejern,obskur;bm;subst
225,trunkere,Erstatte en del eller deler av en søkestreng med et jokertegn,obskur;bm;verb
226,blasonere,Beskrive våpenskjold,obskur;bm;verb
227,similor,Messing som ligner gull og har et høyt innhold av kobber,obskur;bm;subst
228,losholt,Tverrstokk i vindu med mer enn én ramme i høyden,obskur;bm;subst
229,neptunium,Kunstig framstilt radioaktivt grunnstoff med atomnummer 93,obskur;bm;subst
230,hovben,Ytterste bein  i en hov,obskur;bm;subst
231,heliotropisme,Vekstbevegelse hos planter som er framkalt av sollyset,obskur;bm;subst
232,parenkym,"Hos planter: vev av levende, myke celler, for eksempel i stengler og blader",obskur;bm;subst
233,alveolar,I språkvitenskap: konsonant som blir artikulert med fremste del av tunga mot gomme,obskur;bm;subst
234,kabaretfat,"Oppdelt fat til servering av småretter, pålegg eller lignende",obskur;bm;subst
235,utspiling,Det å strekke stramt ut,obskur;bm;subst
236,dravat,Nå sjelden: kastevind,obskur;bm;subst
237,nauild,Ild som oppstår ved at tørre trestykker eller lignende gnis mot hverandre,obskur;bm;subst
238,malje,På en hekte eller spenne: ring eller bøyle til å huke hektekroken inn på,obskur;bm;subst
239,organsin,"Garn av råsilke der flere tråder er tvinnet i motsatt retning, brukt til varp i fine silkestoffer",obskur;bm;subst
240,sellulose,Organisk stoff som er en hovedbestanddel i plantenes cellevegger,obskur;bm;subst
241,praseodym,Treverdig metallisk grunnstoff med atomnummer 59,obskur;bm;subst
242,signatar,"Person som skriver under på dokument, avtale eller lignende",obskur;bm;subst
243,kontrabok,Eldre betegnelse for bankbok,obskur;bm;subst
244,seismisitet,Hyppighet og styrke på jordskjelv,obskur;bm;subst
245,strante,Stå spisst opp i været,obskur;bm;verb
246,kolumnetittel,Overskrift over side eller spalte,obskur;bm;subst
247,polyglott,Som taler flere språk,obskur;bm;adj
248,synkverving,"Synsbedrag, hallusinasjon",obskur;bm;subst
249,pailabb,Spøkefull betegnelse for stor fot,obskur;bm;subst
250,voffe,"Særlig i barnespråk: (små)gjø, bjeffe",obskur;bm;verb
252,inndraing,Det å kalle inn og kjenne ugyldig,obskur;bm;subst
253,mannaask,Ask i oljetrefamilie,obskur;bm;subst
254,adalhending,I norrøn metrikk: helrim i en verselinje,obskur;bm;subst
255,retorsjon,"I jus: gjengjeld, mottiltak",obskur;bm;subst
256,usammensatt,Som består av én del eller enhet,obskur;bm;adj
257,koteri,Nå sjelden: klikk som holder andre ute,obskur;bm;subst
258,resultant,I fysikk: kraft som framkommer av flere samvirkende krefter på et legeme,obskur;bm;subst
259,ugrer,Person som snakker et av de ugrisk språkene,obskur;bm;subst
260,komparere,I grammatikk: gradbøye adjektiv og adverb,obskur;bm;verb
261,ifelling,Noe som er innfelt i noe,obskur;bm;subst
264,skamhugge,Skade ved overdreven hogst,obskur;bm;verb
265,hypernorvagisme,Feil språkform skapt ved at en har prøvd å gi den en norsk form,obskur;bm;subst
266,karminsyre,Rødt fargestoff i kochenille,obskur;bm;subst
267,honningdogg,Søt væske som bladlus og andre plantesugere skiller ut på løvtreblad og barnåler,obskur;bm;subst
268,mokett,Mønstret fløyelslignende møbel- eller teppestoff,obskur;bm;subst
269,vestgotisk,Utdødd germansk språk som er kjent fra Wulfilas bibeloversettelse fra 300-tallet,obskur;bm;subst
270,subalpin,Som grenser opp til høyfjell,obskur;bm;adj
271,usyrt,Om bakverk: som er laget uten gjær eller surdeig,obskur;bm;adj
272,fetved,Ved med mye kvae eller tjære,obskur;bm;subst
273,bumse,Falle eller slippe seg ned med dump lyd,obskur;bm;verb
274,sumpfeber,Eldre betegnelse for malaria,obskur;bm;subst
275,veile,"Sprekk, brist (i metall)",obskur;bm;subst
276,deklinere,"Bøye substantiv, adjektiv, determinativ og pronomen i kjønn, tall, bestemthet og kasus",obskur;bm;verb
277,kultdyr,Dyr som er en del av en religiøs dyrkelse,obskur;bm;subst
278,usvekt,"Like sterk, stor eller god",obskur;bm;adj
279,alvskott,"Sykdom, særlig på dyr, som ifølge folketro kom av skudd fra overnaturlige alv eller vette",obskur;bm;subst
280,vanakt,Liten eller manglende respekt,obskur;bm;subst
281,inkoativ,Om verb: som betegner en begynnende handling eller en overgang til en tilstand,obskur;bm;adj
282,pitchpine,Harpiksholdig ved fra furuarter i det sørøstlige USA,obskur;bm;subst
283,adjutantur,Avdeling i høyere stab som blant annet steller med personalsaker,obskur;bm;subst
284,sambu,Det å bo sammen (uten å være gift),obskur;bm;subst
285,havvette,Overnaturlig vesen eller ånd som holder til på havet,obskur;bm;subst
286,praline,Fylt konfekt med sjokolade utenpå,obskur;bm;subst
287,kosmogonisk,Som gjelder verdens skapelse og senere utvikling,obskur;bm;adj
288,laryngoskop,Instrument med speil til å se ned i strupehode med,obskur;bm;subst
289,knurv,Liten knortete og puslete skapning eller ting,obskur;bm;subst
290,vantreven,"Misdannet, forkrøplet",obskur;bm;adj
291,ilikne,Regne ut og pålegge noen å betale skatt,obskur;bm;verb
292,kyberspace,"Virtuell rom, sfære der kommunikasjonen foregår digitalt",obskur;bm;subst
293,merssegl,Råseil på midtre del av masten på seilskip,obskur;bm;subst
294,thulium,Sølvhvitt metallisk grunnstoff med atomnummer 69,obskur;bm;subst
295,gelenk,Oppsvinget midtparti av en fot eller skosåle,obskur;bm;subst
296,inneragn,Høyblad rundt hver blomst i et småaks,obskur;bm;subst
297,manilahamp,(tau)fibrer av bladene på visse bananplanter,obskur;bm;subst
298,restant,Person som skylder penger eller er på etterskudd med betalingen,obskur;bm;subst
299,homografi,Sammenfall i skrivemåte,obskur;bm;subst
300,appretere,Etterbehandle stoff på ulike måter,obskur;bm;verb
301,skyfall,Blågrønnalge som danner slimete klumper i fuktig tilstand,obskur;bm;subst
302,skyfloke,Samling av tette skyer,obskur;bm;subst
303,hamingje,I norrøn folketro: kvinnelig verneånd som følger et menneske og bestemmer dets skjebne,obskur;bm;subst
304,propyleum,Praktport til tempel eller palass,obskur;bm;subst
305,pyknometer,Glasskar til å bestemme tettheten av væsker og pulverformede stoffer,obskur;bm;subst
306,backfisch,Sjelden: tenåringsjente,obskur;bm;subst
307,dodre,Plante av en av flere arter og slekter i korsblomstfamilie,obskur;bm;subst
308,polyeder,Geometrisk legeme begrenset av plane flater,obskur;bm;subst
309,brunstein,Mineral som (hovedsakelig) er bygd opp av et oksid fra mangan,obskur;bm;subst
310,leicestersau,Grovbygd sau med lang ull av en britisk rase,obskur;bm;subst
311,snarp,"Kvikk, rask (til å forstå noe)",obskur;bm;adj
312,metylen,Toverdig gruppe av atom med ett karbonatom og to hydrogenatomer som fins i en rekke organiske forbindelser,obskur;bm;subst
313,slittung,Medlem av en flokk med opprørere i Viken (1217–1219),obskur;bm;subst
314,bandsalat,Det at båndet på en kassett tyter ut slik at det er umulig å få det på plass igjen,obskur;bm;subst
315,grukk,Kort dikt med satirisk eller humoristisk innhold,obskur;bm;subst
316,pampusse,Bløt tøffel eller sokk,obskur;bm;subst
317,odometer,Apparat som måler distanse,obskur;bm;subst
318,saprofytt,Organisme som lever på råtnende eller døde rester av andre organismer,obskur;bm;subst
319,hospitalisere,Legge inn på sykehus,obskur;bm;verb
320,liktor,"Om eldre forhold: rettstjener, livvakt til en høy romersk embetsmann",obskur;bm;subst
322,bornitt,Mineral som er et sulfid av kobber og jern,obskur;bm;subst
323,dvergpinsjer,Miniatyrhund av tysk rase,obskur;bm;subst
324,advokatorisk,"Ensidig, spissfindig",obskur;bm;adj
325,cendre,Om hår: med farge som aske,obskur;bm;adj
326,anatem,"Forbannelse, bannlysing",obskur;bm;subst
327,allotropi,Det at et grunnstoff kan ha forskjellig krystallinske former i samme aggregattilstand,obskur;bm;subst
328,argot,Hemmelig forbryterspråk,obskur;bm;subst
329,dokkestell,Lite servise brukt til leketøy,obskur;bm;subst
330,lottkar,Mann som er med på fangst og har rett til en del av utbyttet,obskur;bm;subst
331,avtegn,Særlig om husdyr: flekk eller stripe som skiller seg ut fra grunnfargen,obskur;bm;subst
332,ausefat,Øse til å øse båt med,obskur;bm;subst
333,hidsjab,"Tørkle som muslimske kvinner dekker håret, halsen og skuldrene med",obskur;bm;subst
334,vendehammer,Plass i kjørebanen der en kan snu kjøretøy,obskur;bm;subst
335,lekbror,"Mann som er medlem av en munkeorden uten å være innviet, og som særlig gjør praktisk arbeid",obskur;bm;subst
336,optant,Innbygger i et avstått område som har valgt å beholde sitt opprinnelige statsborgerskap,obskur;bm;subst
337,vandrerheim,Rimelig overnattingssted for turister,obskur;bm;subst
338,numeral,Ord som uttrykker et tall,obskur;bm;subst
339,palpitasjon,I medisin: hjertebank,obskur;bm;subst
340,vanhjemmel,I jus: svikt i rettsgrunnlag,obskur;bm;subst
341,kragg,"Forvokst, krokete tre",obskur;bm;subst
342,nativitet,Stjernenes stilling ved et menneskes fødsel,obskur;bm;subst
343,krille,Eldre betegnelse for meslinger,obskur;bm;subst
344,finkefamilie,"I bestemt form entall: spurvefugl med kort, kraftig, kjegleformet nebb",obskur;bm;subst
345,leilighetstyv,Person som stjeler når en gunstig anledning byr seg,obskur;bm;subst
346,suksedere,"Avløse (i embete, på trone eller lignende)",obskur;bm;verb
347,kitsje,Språk hovedsakelig brukt i Guatemala,obskur;bm;subst
348,rundboge,Halvsirkelformet bue (i hvelv),obskur;bm;subst
349,kokarde,"Rundt merke eller rosett til hatt eller lue, ofte i nasjonalfarger",obskur;bm;subst
350,ekslibris,"Merke, gjerne kunstnerisk dekorert, en eier limer inn i bok for å vise at han eller hun eier den",obskur;bm;subst
352,forvede,Om plantevev: få vedstoff i celleveggene,obskur;bm;verb
353,timokrati,Styresett der borgernes formue avgjør hvilke retter og plikter de har,obskur;bm;subst
354,numismat,Kjenner eller samler av mynter,obskur;bm;subst
355,cirkumfleks,"Diakritisk tegn (^) som angir at en lyd er falt bort, for eksempel i fôr, for eldre foder",obskur;bm;subst
356,artsren,Uten innblanding av andre arter,obskur;bm;adj
357,innabys,Som hører til eller gjelder en bestemt by,obskur;bm;adj
358,dorer,Person av en gammelgresk stamme,obskur;bm;subst
359,akterutseglet,Som noen har seilt fra,obskur;bm;adj
360,fasle,"Feste, forbinde, surre omkring",obskur;bm;verb
361,sjenkel,Innside av leggen til rytteren mot siden på hesten,obskur;bm;subst
362,merlestikk,Måte å knytte tau på,obskur;bm;subst
363,eksklave,Del av en stat som er skilt fra denne og helt omgitt av fremmed område,obskur;bm;subst
364,fasisme,"Politisk totalitær og nasjonal bevegelse i Italia 1922–1943, innført av Mussolini",obskur;bm;subst
365,gnomisk,Preget av sentens eller fyndord,obskur;bm;adj
366,rajasthani,Indoarisk språk hovedsakelig brukt i India,obskur;bm;subst
367,havgule,Vind som blåser fra sjøen om sommeren,obskur;bm;subst
368,mispeltre,3–4 meter høyt tre i rosefamilie som dyrkes som prydplante i Norden,obskur;bm;subst
369,omstiging,Overgang fra ett kommunikasjonsmiddel til et annet,obskur;bm;subst
370,kambium,Vev mellom bark og ved som gir celledeling,obskur;bm;subst
371,svartolder,Or med mørkegrå bark,obskur;bm;subst
